Lon,Lat,Population
-77.795,26.91972222,2.586580038
-77.79472222,26.91972222,2.586580038
-77.79444444,26.91972222,2.586580038
-77.79416667,26.91972222,2.586580038
-77.79388889,26.91972222,2.586580038
-77.79361111,26.91972222,2.586580038
-77.79333333,26.91972222,2.586580038
-77.7925,26.91972222,2.586580038
-77.79222222,26.91972222,2.586580038
-77.79194444,26.91972222,2.586580038
-77.79083333,26.91972222,2.586580038
-77.79055556,26.91972222,2.586580038
-77.79027778,26.91972222,2.586580038
-77.78944444,26.91972222,2.586580038
-77.78916667,26.91972222,2.586580038
-77.78888889,26.91972222,2.586580038
-77.78861111,26.91972222,2.586580038
-77.7875,26.91972222,2.586580038
-77.78638889,26.91972222,2.586580038
-77.78611111,26.91972222,2.586580038
-77.78583333,26.91972222,2.586580038
-77.78472222,26.91972222,2.586580038
-77.8025,26.91944444,2.586580038
-77.79666667,26.91944444,2.586580038
-77.79555556,26.91944444,2.586580038
-77.79527778,26.91944444,2.586580038
-77.795,26.91944444,2.586580038
-77.79444444,26.91944444,2.586580038
-77.79388889,26.91944444,2.586580038
-77.79361111,26.91944444,2.586580038
-77.79333333,26.91944444,2.586580038
-77.7925,26.91944444,2.586580038
-77.79194444,26.91944444,2.586580038
-77.79111111,26.91944444,2.586580038
-77.79055556,26.91944444,2.586580038
-77.79,26.91944444,2.586580038
-77.78944444,26.91944444,2.586580038
-77.78916667,26.91944444,2.586580038
-77.78888889,26.91944444,2.586580038
-77.78861111,26.91944444,2.586580038
-77.78833333,26.91944444,2.586580038
-77.78666667,26.91944444,2.586580038
-77.78611111,26.91944444,2.586580038
-77.78444444,26.91944444,2.586580038
-77.78416667,26.91944444,2.586580038
-77.79666667,26.91916667,2.586580038
-77.79638889,26.91916667,2.586580038
-77.79527778,26.91916667,2.586580038
-77.79361111,26.91916667,2.586580038
-77.79333333,26.91916667,2.586580038
-77.79305556,26.91916667,2.586580038
-77.7925,26.91916667,2.586580038
-77.78944444,26.91916667,2.586580038
-77.78833333,26.91916667,2.586580038
-77.78472222,26.91916667,2.586580038
-77.78444444,26.91916667,2.586580038
-77.79666667,26.91888889,2.586580038
-77.79333333,26.91888889,2.586580038
-77.79305556,26.91888889,2.586580038
-77.79277778,26.91888889,2.586580038
-77.7925,26.91888889,2.586580038
-77.78916667,26.91888889,2.586580038
-77.78805556,26.91888889,2.586580038
-77.78777778,26.91888889,2.586580038
-77.78694444,26.91888889,2.586580038
-77.78638889,26.91888889,2.586580038
-77.78611111,26.91888889,2.586580038
-77.78527778,26.91888889,2.586580038
-77.78694444,26.91861111,2.586580038
-77.78666667,26.91861111,2.586580038
-77.78305556,26.91861111,2.586580038
-77.79638889,26.91805556,2.586580038
-77.79472222,26.91805556,2.586580038
-77.78916667,26.91805556,2.586580038
-77.77222222,26.91805556,2.586580038
-77.79611111,26.91777778,2.586580038
-77.79472222,26.91777778,2.586580038
-77.79416667,26.91777778,2.586580038
-77.79388889,26.91777778,2.586580038
-77.77194444,26.91777778,2.586580038
-77.77111111,26.91777778,2.586580038
-77.7975,26.9175,2.586580038
-77.79722222,26.9175,2.586580038
-77.7725,26.9175,2.586580038
-77.7975,26.91722222,2.586580038
-77.79611111,26.91722222,2.586580038
-77.77138889,26.91722222,2.586580038
-77.79861111,26.91694444,2.586580038
-77.79833333,26.91694444,2.586580038
-77.79861111,26.91666667,2.586580038
-77.77055556,26.91666667,2.586580038
-77.80166667,26.91638889,2.586580038
-77.79916667,26.91638889,2.586580038
-77.79888889,26.91638889,2.586580038
-77.77055556,26.91638889,2.586580038
-77.76777778,26.91638889,2.586580038
-77.80388889,26.91611111,2.586580038
-77.80361111,26.91611111,2.586580038
-77.80305556,26.91611111,2.586580038
-77.80138889,26.91611111,2.586580038
-77.76777778,26.91611111,2.586580038
-77.7675,26.91611111,2.586580038
-77.76722222,26.91611111,2.586580038
-77.80527778,26.91583333,2.586580038
-77.805,26.91583333,2.586580038
-77.80472222,26.91583333,2.586580038
-77.80444444,26.91583333,2.586580038
-77.80416667,26.91583333,2.586580038
-77.80388889,26.91583333,2.586580038
-77.80361111,26.91583333,2.586580038
-77.80305556,26.91583333,2.586580038
-77.76861111,26.91583333,2.586580038
-77.76777778,26.91583333,2.586580038
-77.76722222,26.91583333,2.586580038
-77.76694444,26.91583333,2.586580038
-77.76638889,26.91583333,2.586580038
-77.76611111,26.91583333,2.586580038
-77.765,26.91583333,2.586580038
-77.76472222,26.91583333,2.586580038
-77.76444444,26.91583333,2.586580038
-77.76416667,26.91583333,2.586580038
-77.76333333,26.91583333,2.586580038
-77.80777778,26.91555556,2.586580038
-77.80416667,26.91555556,2.586580038
-77.80138889,26.91555556,2.586580038
-77.80055556,26.91555556,2.586580038
-77.76805556,26.91555556,2.586580038
-77.76722222,26.91555556,2.586580038
-77.76611111,26.91555556,2.586580038
-77.76527778,26.91555556,2.586580038
-77.76416667,26.91555556,2.586580038
